epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14873.4,0.92416,0.56222,1.03262,0.96091,0.89945,0.96173,0.67704,1.13208,0.55585,1.11027,0.0011882,0.0011882,0.0011882
43,15150.7,0.95917,0.55849,1.05796,0.97945,0.91463,0.98176,0.6974,1.13798,0.53523,1.10263,0.0011684,0.0011684,0.0011684
44,15412,0.93443,0.57169,1.04706,0.81124,0.68137,0.78349,0.54776,1.26244,1.47088,1.17775,0.0011486,0.0011486,0.0011486
45,15725.9,0.91703,0.54921,1.03912,0.98106,0.9474,0.98279,0.68629,1.16051,0.52802,1.12165,0.0011288,0.0011288,0.0011288
46,16027.9,0.93056,0.57716,1.04524,0.9233,0.93293,0.96967,0.67045,1.19356,0.57056,1.13657,0.001109,0.001109,0.001109
47,16313.4,0.92295,0.54667,1.02849,0.97318,0.94512,0.98298,0.69247,1.13038,0.49998,1.10499,0.0010892,0.0010892,0.0010892
48,16627.4,0.9267,0.54224,1.03279,0.97431,0.92506,0.9787,0.68532,1.11141,0.51656,1.09571,0.0010694,0.0010694,0.0010694
49,16942.2,0.9039,0.52795,1.02191,0.94628,0.96662,0.98606,0.68873,1.11926,0.50992,1.11157,0.0010496,0.0010496,0.0010496
50,17260.1,0.91549,0.52221,1.03769,0.96331,0.96063,0.99044,0.71207,1.08478,0.48299,1.08938,0.0010298,0.0010298,0.0010298
51,17577.3,0.90597,0.53254,1.03054,0.92757,0.93703,0.97838,0.67901,1.11649,0.54975,1.10144,0.00101,0.00101,0.00101
52,17890.8,0.92007,0.52983,1.03628,0.95714,0.95315,0.98778,0.69415,1.10812,0.50955,1.11359,0.0009902,0.0009902,0.0009902
53,18203.1,0.90168,0.53785,1.03159,0.95761,0.96341,0.9859,0.70327,1.08053,0.48694,1.09809,0.0009704,0.0009704,0.0009704
54,18473.5,0.88277,0.52528,1.02158,0.9758,0.94512,0.98269,0.70371,1.11342,0.52788,1.10463,0.0009506,0.0009506,0.0009506
55,18735.2,0.90509,0.5257,1.02964,0.98985,0.93902,0.98588,0.69107,1.14039,0.50188,1.12979,0.0009308,0.0009308,0.0009308
56,18995,0.91382,0.53697,1.03874,0.96344,0.96401,0.98743,0.69487,1.10556,0.49624,1.11468,0.000911,0.000911,0.000911
57,19254.7,0.88565,0.50886,1.02358,0.98099,0.94512,0.9838,0.69557,1.1002,0.50978,1.09882,0.0008912,0.0008912,0.0008912
58,19515,0.88166,0.50763,1.00955,0.98139,0.96492,0.98689,0.67809,1.12281,0.4992,1.12852,0.0008714,0.0008714,0.0008714
59,19775.9,0.87093,0.50801,1.01371,0.96975,0.9773,0.99064,0.70295,1.11366,0.47889,1.10794,0.0008516,0.0008516,0.0008516
60,20035.4,0.89531,0.5265,1.0282,0.98752,0.96519,0.98689,0.69309,1.11749,0.49938,1.11693,0.0008318,0.0008318,0.0008318
61,20292.8,0.85356,0.47897,1.00273,0.95791,0.97136,0.98397,0.71173,1.13151,0.47846,1.11007,0.000812,0.000812,0.000812
62,20549.6,0.87056,0.49409,1.00682,0.96351,0.96601,0.98486,0.70067,1.13781,0.48094,1.11036,0.0007922,0.0007922,0.0007922
63,20808.1,0.87003,0.48113,1.01695,0.97394,0.95732,0.98174,0.69888,1.131,0.47924,1.12266,0.0007724,0.0007724,0.0007724
64,21066.3,0.87566,0.59919,1.01747,0.95703,0.96951,0.97862,0.69841,1.14281,0.46694,1.11011,0.0007526,0.0007526,0.0007526
65,21325.7,0.87014,0.49596,1.0117,0.967,0.97561,0.9865,0.70996,1.11078,0.47433,1.11173,0.0007328,0.0007328,0.0007328
66,21588.7,0.83829,0.47357,0.98931,0.96949,0.96891,0.98875,0.70726,1.15239,0.47127,1.11413,0.000713,0.000713,0.000713
67,21850.2,0.82975,0.46786,0.99414,0.9637,0.97138,0.98769,0.7015,1.09852,0.45979,1.09025,0.0006932,0.0006932,0.0006932
68,38358.5,0.82684,0.46906,1.00119,0.9639,0.977,0.98655,0.6976,1.12738,0.46198,1.1004,0.0006734,0.0006734,0.0006734
