epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.432,1.45814,2.38601,1.35314,0.57541,0.36585,0.42984,0.25206,1.37356,2.81809,1.20967,0.000659259,0.000659259,0.000659259
2,551.474,1.3149,1.56446,1.235,0.56608,0.69206,0.64937,0.37411,1.44379,1.95499,1.42345,0.00106339,0.00106339,0.00106339
3,816.052,1.27595,1.27278,1.22163,0.7963,0.61977,0.72404,0.4433,1.42296,1.81376,1.22113,0.00120353,0.00120353,0.00120353
4,1083.81,1.20767,1.07037,1.17125,0.86465,0.84756,0.90052,0.58008,1.27135,1.02898,1.18986,0.000812,0.000812,0.000812
5,1342.62,1.14224,0.93594,1.13478,0.78951,0.82317,0.87617,0.58121,1.21666,1.05446,1.13966,0.000416,0.000416,0.000416
